Product Name,Brand,Category,SKU,EAN,Ingredients,Size/Packaging,Product Image URL,Product Page URL,Official Product Page,Brand Website,Extra Description,External Ingredients,External SKU/EAN,Country of Origin
COSRX - Advanced Snail 96 Mucin Power Essence - 100ml,COSRX,Bulk Moisturizer,COSRX-11,8809416470009,"Snail Secretion Filtrate (96% Snail Mucin) - intensely hydrates, supports skin repair, smooths texture, and enhances elasticity while improving overall radiance. | Sodium Hyaluronate (Hyaluronic Acid) - binds moisture deep within the skin, keeping it supple, plump, and soft. | Panthenol (Vitamin B5) - soothes irritation and reinforces the moisture barrier for added comfort. | Allantoin - calms stressed skin and promotes a smoother, healthier-looking surface. | Hydrating and skin-repairing agents - support long-lasting moisture and improved skin resilience.",100 ml,https://qudobeauty.com/wp-content/uploads/2025/04/8809416470009-600x600.avif,https://qudobeauty.com/product/advanced-snail-96-mucin-power-essence-100ml/,https://www.cosrx.com/products/advanced-snail-96-mucin-power-essence,www.cosrx.com,"Advanced Snail 96 Mucin Power Essence · K-Beauty Favorite Essence for Glass Skin · GLOBAL NO.1 ESSENCE · Strengthen Your Skin, Reveal Your Glow · WHO IS IT FOR?",https://incidecoder.com/products/cosrx-advanced-snail-96-mucin-power-essence,,
Medicube - Collagen Jelly Cream - 110ml,Medicube,Bulk Moisturizer,MEDICUBE-06,8809982769903,"hydrolyzed collagen - boosts firmness, smooths fine lines, enhances elasticity, | niacinamide - brightens, balances tone, strengthens the barrier, | hyaluronic acid - hydrates deeply and plumps the complexion, | panthenol - soothes, moisturizes, and protects sensitive skin, | lightweight emollients - soften and improve overall texture.",110 ml,https://qudobeauty.com/wp-content/uploads/2025/04/collagencream1.webp,https://qudobeauty.com/product/medicube-collagen-jelly-cream-110ml/,https://incidecoder.com/products/medicube-collagen-niacinamide-jelly-cream,,"Aug 1, 2023 ... Medicube Collagen Niacinamide Jelly Cream ingredients explained: Water, Propanediol, Dipropylene Glycol, Butylene Glycol, Methylpropanediol, ...",https://incidecoder.com/products/medicube-collagen-niacinamide-jelly-cream,,
Dr. Althea - 345 Relief Cream - 50ml,Dr. Althea,Bulk Moisturizer,ALTHEA-7,8809447256221,"Centella Asiatica Extract - calms irritation, reduces redness, and supports skin recovery. | Panthenol (Vitamin B5) - strengthens the moisture barrier, soothes sensitivity, and improves skin comfort. | Madecassoside - a potent compound from Centella that promotes healing and reduces inflammation. | Ceramide NP - reinforces the skin barrier to lock in moisture and protect against external aggressors. | Hyaluronic Acid - hydrates deeply and maintains moisture balance without heaviness.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/DrAltheaReliefCream1-600x600.webp,https://qudobeauty.com/product/dr-althea-345-relief-cream-50ml/,https://incidecoder.com/products/dr-althea-345-relief-cream,,"Dec 15, 2023 ... Ingredients overview · Water · Propanediol · Glycerin · Cyclohexasiloxane · 1,2-Hexanediol · Caprylic/​Capric Triglyceride · Niacinamide · Panthenol ...",https://incidecoder.com/products/dr-althea-345-relief-cream,Amazon.com: Dr.Althea 345 Relief Cream | Moisturizer for Soothing Recovery and Blemish Care with PDRN & Niacinamide | Korean Vegan Skin Care for All Skin ...,
Medicube - PDRN Pink Collagen Capsule Cream - 55g,Medicube,Bulk Moisturizer,medicube-28,8800256118885,"PDRN - supports regeneration, improves elasticity, revitalizes the skin, | collagen capsules - enhance firmness, smooth fine lines, boost suppleness, | niacinamide - brightens, balances sebum, strengthens the barrier, | hyaluronic acid - hydrates deeply and plumps the complexion, | panthenol - soothes, moisturizes, and protects sensitive skin.",55 g,https://qudobeauty.com/wp-content/uploads/2025/05/s-l1200-10-600x600.webp,https://qudobeauty.com/product/medicube-pdrn-pink-collagen-capsule-cream-55g/,https://medicube.us/products/pdrn-pink-collagen-capsule-cream,medicube.us,... PDRN until absorbed into the skin to achieve maximum glass glow result. Lightweight hydrating capsule cream for glowy and moisturizing skin. 55g / 1.94 oz.,https://incidecoder.com/products/medicube-pdrn-pink-capsule-cream,,
Medicube - Deep Vita C Capsule Cream - 55g,Medicube,Bulk Moisturizer,MEDICUBE-17,8809982769866,"stabilized vitamin C - brightens, fades dark spots, boosts collagen, protects against oxidation, | vitamin C capsules - melt into the skin for enhanced potency and radiance, | niacinamide - brightens, refines texture, strengthens the barrier, | hyaluronic acid - hydrates deeply and maintains moisture balance, | panthenol - soothes, softens, and improves skin comfort.",55 g,https://qudobeauty.com/wp-content/uploads/2025/04/Frame-1618871782.jpg,https://qudobeauty.com/product/medicube-deep-vita-c-capsule-cream-55g/,https://incidecoder.com/products/medicube-vita-c-capsule-cream,,"Jul 22, 2024 ... Medicube Vita C Capsule Cream ingredients explained: Hippophae Rhamnoides Water, Butylene Glycol, 1,2-Hexanediol, Glycerin, Water, ...",https://incidecoder.com/products/medicube-vita-c-capsule-cream,,
Medicube - Age-R Glutathione Glow Capsule Cream - 50ml,Medicube,Bulk Moisturizer,MEDICUBE-23,8800240573188,"glutathione capsules - brighten, reduce dark spots, boost radiance, | glutathione - powerful antioxidant that evens tone and protects the skin, | niacinamide - brightens, strengthens the barrier, refines texture, | hyaluronic acid - hydrates deeply and plumps the complexion, | panthenol - soothes, softens, and supports moisture balance.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/medicube-age-r-glutathione-glow-capsule-e-ko-skin-01-600x600.webp,https://qudobeauty.com/product/medicube-age-r-glutathione-glow-capsule-cream-50ml/,https://medicube.us/products/age-r-glutathione-glow-capsule-cream,medicube.us,What is Glutathione? Glutathione is widely recognized in Korea as an effective ingredient for brightening skin. It is particularly beneficial for those with ...,https://incidecoder.com/products/medicube-age-r-glutathione-glow-capsule-cream,,
Medi-Peel - Peptide 9 Volume and Tension Tox Cream Pro - 50g,MEDI-PEEL,Bulk Moisturizer,MEDIPEEL-16,8809941820430,"Peptide 9 Complex - boosts collagen, firms the skin, smooths wrinkles, | Volufiline - enhances volume and improves facial contours, | botox-like peptides - smooth fine lines and relax expression wrinkles, | niacinamide - brightens, evens tone, strengthens the barrier, | hyaluronic acid - hydrates deeply and plumps the complexion, | panthenol - soothes, softens, and enhances comfort.",50 g,https://qudobeauty.com/wp-content/uploads/2025/04/XXL_p0201918113-600x600.webp,https://qudobeauty.com/product/medi-peel-peptide-9-volume-and-tension-tox-cream-pro-50g/,https://incidecoder.com/products/medi-peel-peptide-9-volume-tox-cream,,"Mar 24, 2023 ... MEDI-PEEL Peptide 9 Volume Tox Cream ingredients explained: Water, Methylpropanediol, Glycerin, Dimethicone, Cyclopentasiloxane, ...",https://incidecoder.com/products/medi-peel-peptide-9-volume-tox-cream,,
"Haruharu Wonder - Black Rice Probiotics Barrier Essence, 120ml",Haruharu Wonder,,HARU-23,8809532221967,"Fermented Black Rice Extract - packed with antioxidants that protect the skin, nourish deeply, and support long-term barrier health. | Probiotics Complex - helps balance the skin microbiome, reinforces the barrier, and improves overall skin strength and resilience. | Hyaluronic Acid & Glycerin - deliver lasting hydration, keeping the skin plump, soft, and comfortably moisturized. | Soothing Botanicals - calm irritation and help reduce redness, leaving the skin balanced and refreshed. | Lightweight Essence Texture - absorbs quickly and layers effortlessly, providing hydration without heaviness.",120 ml,https://qudobeauty.com/wp-content/uploads/2025/04/HaruHaru-Wonder-Black-Rice-Probiotics-Barrier-Essence-120ml-1-2-600x600.jpg,https://qudobeauty.com/product/haruharu-wonder-black-rice-probiotics-barrier-essence-120ml/,https://incidecoder.com/products/haruharu-wonder-black-rice-probiotic-barrier-essence,,"Oct 2, 2024 ... Haruharu WONDER Black Rice Probiotic Barrier Essence ingredients explained: Water, Butylene Glycol, Helianthus Annuus (Sunflower) Seed Oil, ...",https://incidecoder.com/products/haruharu-wonder-black-rice-probiotic-barrier-essence,,
Medicube - Collagen Jelly Cream - 50ml,Medicube,Bulk Moisturizer,MEDICUBE-24,8800256112227,"hydrolyzed collagen - improves firmness, smooths fine lines, boosts elasticity, | niacinamide - brightens, balances skin tone, strengthens the barrier, | hyaluronic acid - hydrates deeply and plumps the complexion, | panthenol - soothes, moisturizes, and protects sensitive skin, | lightweight emollients - enhance softness and overall texture.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/61c5EovDcyL._SL1500_-600x600.webp,https://qudobeauty.com/product/medicube-collagen-jelly-cream-50ml/,https://medicube.us/products/collagen-niacinamide-jelly-cream,medicube.us,"A transparent collagen jelly cream that provides anti-aging benefits to enhance facial contours, promote firmness, and achieve a polished and glowing ...",https://incidecoder.com/products/medicube-collagen-niacinamide-jelly-cream,,
Medicube - PDRN Pink Hyaluronic Moisturizing Cream - 50ml,Medicube,Bulk Moisturizer,medicube-38,8800256113101,"PDRN - boosts regeneration, improves elasticity, revitalizes dull skin, | hyaluronic acid - hydrates deeply and plumps the complexion, | niacinamide - brightens, balances sebum, strengthens the barrier, | panthenol - soothes, moisturizes, and protects sensitive skin.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/06/medicube-PDRNPinkHyaluronicMoisturizingCream-600x600.webp,https://qudobeauty.com/product/medicube-pdrn-pink-hyaluronic-moisturizing-cream-50ml/,https://incidecoder.com/products/medicube-pdrn-pink-hyaluronic-moisturizing-cream,,"Apr 3, 2025 ... Medicube Pdrn Pink Hyaluronic Moisturizing Cream ingredients explained: Water, Disodium EDTA, Betaine, Niacinamide, Adenosine, Citric Acid, ...",https://incidecoder.com/products/medicube-pdrn-pink-hyaluronic-moisturizing-cream,,
Beauty of Joseon - Dynasty Cream Intensive Moisturizing Cream - 50 ml,Beauty of Joseon,Bulk Moisturizer,JOSEON-18,8809525249565,"Rice Bran Water (29%) - rich in amino acids and vitamins that moisturize, soften, and brighten dull skin. | Ginseng Root Extract - revitalizes the skin, improves firmness, and boosts circulation for a radiant, healthy glow. | Niacinamide (Vitamin B3) - brightens uneven tone, refines pores, and strengthens the skin barrier. | Squalane - provides deep hydration while preventing moisture loss, leaving the skin supple and smooth. | Ceramide NP - reinforces the barrier, protecting against dryness and environmental stress. | Honey and Adenosine - deliver antioxidant and anti-aging benefits, enhancing elasticity and reducing fine lines.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/res_d11273815cb3405e245bb62d711281af-copy-600x600.webp,https://qudobeauty.com/product/beauty-of-joseon-dynasty-cream-intensive-moisturizing-cream-50-ml/,https://www.amazon.com/Beauty-Joseon-Dynasty-renewed-version/dp/B08WJQ3XJD,,"Amazon.com : Beauty of Joseon Dynasty Cream Hydrating Face Moisturizer for Dry, Sensitive Skin, Korean Skincare for Men and Women 50ml, 1.69 fl.oz.",,"Amazon.com : Beauty of Joseon Dynasty Cream Hydrating Face Moisturizer for Dry, Sensitive Skin, Korean Skincare for Men and Women 50ml, 1.69 fl.oz.",
Medicube - PDRN Booster Gel - 300ml,Medicube,Bulk Moisturizer,medicube-48,8800256114979,"PDRN - supports regeneration, improves elasticity, revitalizes the skin, | hyaluronic acid - deeply hydrates, plumps, and prevents moisture loss, | centella asiatica (cica) - soothes irritation, reduces redness, promotes healing, | panthenol - moisturizes, softens, and strengthens the barrier, | allantoin - calms, smooths, and supports gentle skin recovery.",300 ml,https://qudobeauty.com/wp-content/uploads/2025/08/medicube-pdrn-pink-crema-facial-en-gel-booster-gel-1-89660-600x677.jpg,https://qudobeauty.com/product/medicube-pdrn-booster-gel-300ml/,https://incidecoder.com/products/medicube-pdrn-booster-gel,,"Nov 16, 2024 ... Medicube Pdrn Booster Gel ingredients explained: Water, Methylpropanediol, Glycereth-26, Glycerin, Niacinamide, 1,2-Hexanediol, ...",https://incidecoder.com/products/medicube-pdrn-booster-gel,,
SKIN1004 - Madagascar Centella Probio-Cica Enrich Cream - 50ml,SKIN1004,Bulk Moisturizer,SKIN-22,8809576261769,"Centella Asiatica Extract (Fermented + TECA complex) - soothes irritation, supports barrier repair, and promotes skin recovery, | Shea Butter - deeply moisturises and nourishes dry, stressed skin, | Ceramide NP - reinforces the skin's protective lipids and prevents moisture loss, | Macadamia Seed Oil & Moringa Seed Oil - rich botanical oils that enhance elasticity and deliver essential nutrients, | Panthenol & Sodium Hyaluronate - hydrate, calm and restore skin softness.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Skin1004-Madagascar-Centella-Probio-Cica-Enrich-Cream.jpg,https://qudobeauty.com/product/skin1004-madagascar-centella-probio-cica-enrich-cream-50ml/,https://incidecoder.com/products/skin1004-madagascar-centella-probio-cica-enrich-cream,www.skin1004.com,"Mar 10, 2023 ... Skin1004 Madagascar Centella Probio-cica Enrich Cream ingredients explained: Lactobacillus/Centella Asiatica Extract Ferment Filtrate, ...",https://incidecoder.com/products/skin1004-madagascar-centella-probio-cica-enrich-cream,,
Medi-Peel - Gold Age Tox H8 Cream - 50g,MEDI-PEEL,Bulk Moisturizer,MEDIPEEL-13,8809409347004,"24K gold - brightens, revitalizes, supports microcirculation, | peptide complexes - boost collagen, firm the skin, smooth wrinkles, | Volufiline - enhances volume and improves facial contours, | niacinamide - brightens, evens tone, strengthens the barrier, | hyaluronic acid - hydrates deeply and plumps the complexion, | panthenol - soothes, softens, and improves comfort.",50 g,https://qudobeauty.com/wp-content/uploads/2025/04/crema-anti-rid-iluminatoare-gold-age-tox-50-g-medi-peel-8809409347004-1894-1-600x600.jpg,https://qudobeauty.com/product/medi-peel-gold-age-tox-h8-cream-50g/,https://medipeel.com.au/products/gold-age-tox-cream,medipeel.com.au,"Aug 31, 2021 ... MEDI-PEEL Gold Age Tox Creme ingredients explained: Water, Glycerin, Caprylic/Capric Triglyceride, Dipropylene Glycol, Niacinamide, ...",https://incidecoder.com/products/medi-peel-gold-age-tox-creme,,
