Product Name,Brand,Category,SKU,EAN,Ingredients,Size/Packaging,Product Image URL,Product Page URL,Official Product Page,Brand Website,Extra Description,External Ingredients,External SKU/EAN,Country of Origin
LION - Pair Acne Cream W - 24g,LION,Bulk Moisturizer,LION-02,4903301025726,"Ibuprofen Piconol (IPPN) - helps reduce swelling and inflammation associated with acne lesions. | Isopropyl Methylphenol (IPMP) - an antibacterial agent that fights acne-causing bacteria to help control breakouts. | Moisturizing Gel-Cream Base - transforms to a transparent serum upon application, ensuring good spreadability and compatibility with makeup. | Skin-Compatible pH & Mild Formula - formulated for gentle, comfortable use on sensitive or blemish-prone skin.",24 g,https://qudobeauty.com/wp-content/uploads/2025/09/lion_pair_acne_14g-1-600x600.png,https://qudobeauty.com/product/lion-pair-acne-cream-w-24g-2/,https://www.lion.co.jp/en/products/category/medical/29,www.lion.co.jp,Acne medicines. Acne medicines. Acne medicines. PAIR ACNE Cream W. Class 2 OTC drugs. A topical medication that helps treat acne that has caused inflammation ...,https://incidecoder.com/products/lion-pair-acne-cream-w,,
COSRX - Advanced Snail 92 All In One Cream - 100ml,COSRX,Bulk Moisturizer,COSRX-37,8809416470016,"Snail Secretion Filtrate (92%) - rich in proteins, glycolic acid, elastin and other bioactive molecules that help repair the skin barrier, hydrate deeply and enhance elasticity. | Sodium Hyaluronate (Hyaluronic Acid) - delivers and locks in moisture across multiple skin layers for long-lasting hydration. | Panthenol (Vitamin B5) - calms and supports the skin barrier for improved comfort and resilience. | Allantoin - soothes irritation and helps regenerate skin for a healthier feel. | Adenosine - aids in smoothing the appearance of fine lines and supports skin's renewal process.",100 ml,https://qudobeauty.com/wp-content/uploads/2025/04/8809416470016-600x600.avif,https://qudobeauty.com/product/cosrx-advanced-snail-92-all-in-one-cream-100ml/,https://www.cosrx.com/products/advanced-snail-92-all-in-one-cream,www.cosrx.com,K-Beauty Favorite Cream for Boosting Elasticity · GLOBAL NO.1 CREAM · Reveal Your Glass Skin · WHO IS IT FOR? · KEY INGREDIENTS · HYALURONIC ACID & Betaine · 92% ...,https://incidecoder.com/products/cosrx-advanced-snail-92-all-in-one-cream,,
Dr. Althea - 147 Cream Barrier - 50 ml,Dr. Althea,Bulk Moisturizer,ALTHEA-3,8809447251363,"Ceramide Complex - reinforces the skin's natural barrier, locks in moisture, and protects against external irritants. | Centella Asiatica Extract - calms redness, soothes irritation, and supports skin repair. | Panthenol (Vitamin B5) - hydrates deeply, strengthens the barrier, and improves overall skin comfort. | Hyaluronic Acid - delivers multi-layer hydration for smooth, plump, well-moisturized skin. | Botanical Soothing Agents - help reduce sensitivity and promote a balanced, healthy complexion.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/crema-faciala-hidratanta-147-barrier-cream-50ml-dr-althea-2-600x600.jpg,https://qudobeauty.com/product/dr-althea-147-cream-barrier-50-ml/,https://doctoraltheaglobal.com/products/dralthea-147_barrier_cream,doctoraltheaglobal.com,"Jan 18, 2024 ... Dr. Althea 147 Barrier Cream ingredients explained: Water, Glycerin, Dipropylene Glycol, Cetearyl Alcohol, Caprylic/Capric Triglyceride, ...",https://incidecoder.com/products/dr-althea-147-barrier-cream,,
Medicube - Triple Collagen Cream 4.0 - 50ml,Medicube,Bulk Moisturizer,MEDICUBE-03,8800256118977,"Triple Collagen Complex - improves firmness, boosts elasticity, smooths fine lines, | niacinamide - brightens, balances tone, strengthens the barrier, | hyaluronic acid - hydrates deeply and plumps the complexion, | panthenol - soothes, moisturizes, and enhances comfort, | nourishing emollients - soften and improve skin texture.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/MEDICUBE-Triple-Collagen-Cream-4.0-50ml-PURESEOUL-UK-KBeauty-Shop-600x600.webp,https://qudobeauty.com/product/medicube-triple-collagen-cream-4-0-50ml/,https://medicube.us/products/deep-erasing-cream,medicube.us,"Formulated with up to a total of 16 patented ingredients for pore care, skin elasticity, and dark spots, Triple Collagen Cream is a dermatologically tested ...",https://incidecoder.com/products/medicube-triple-collagen-cream,,
Beauty of Joseon - Gingseng Essence Water Concentrated Hydrating Essence - 150 ml,Beauty of Joseon,Bulk Moisturizer,JOSEON-16,8809738310960,"Ginseng Root Water (80%) - rich in saponins and antioxidants that revitalize the skin, promote firmness, and improve overall tone and resilience. | Niacinamide (Vitamin B3) - brightens dull skin, refines pores, and strengthens the barrier for a smoother, more radiant complexion. | Panthenol (Vitamin B5) - hydrates deeply and soothes irritation, helping to maintain a healthy moisture balance. | Adenosine - supports skin regeneration, reduces fine lines, and enhances elasticity. | Green Tea Extract - provides antioxidant protection and calms irritation caused by environmental stress. | Hyaluronic Acid - locks in moisture to keep the skin plump, supple, and hydrated throughout the day.",150 ml,https://qudobeauty.com/wp-content/uploads/2025/04/1_2-600x600.jpg,https://qudobeauty.com/product/beauty-of-joseon-gingseng-essence-water-concentrated-hydrating-essence-150-ml/,https://incidecoder.com/products/beauty-of-joseon-ginseng-essence-water,,"Oct 25, 2020 ... Beauty of Joseon Ginseng Essence Water ingredients explained: Panax Ginseng Root Water, Butylene Glycol, Glycerin, Propanediol, Niacinamide, ...",https://incidecoder.com/products/beauty-of-joseon-ginseng-essence-water,How to Use ; Key Ingredients. Ginseng + Niacinamide. Green Plum Water + Mung Bean Extract + AHA+BHA ; Skin Concern. Uneven Skin Tone + Dryness. Clogged Pores + ...,
K-SECRET - SEOUL 1988 Cream : Retinal Liposome 1% + Fermented Rice - 50ml,K-secret,Bulk Moisturizer,KSECRET-06,8809695240584,"Retinal Liposome 1% - a potent Vitamin A derivative encapsulated for better stability and gentler delivery to promote renewal, smooth texture, and improve firmness. | Fermented Rice Extract - enriched with amino acids and nutrients that brighten the skin, improve moisture retention, and support barrier health. | Peptide Complex & Bakuchiol - boost collagen production, enhance elasticity, and support skin resilience. | Antioxidant Vitamins (C & E) & Herbal Root Extracts - protect against oxidative stress and improve radiance. | Smooth Cream Texture - rich yet rapidly absorbed, leaving a smooth finish without heaviness.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/07/KSECRET-Seoul-1988-Cream_-Retinal-Liposome-1-Fermented-Rice-50ml-1-600x600.jpg,https://qudobeauty.com/product/k-secret-seoul-1988-cream-retinal-liposome-1-fermented-rice-50ml/,https://www.ksecret.com/en/k-secret-seoul-1988-cream-retinal-liposome-1-fermented-rice,www.ksecret.com,4 interest-free payments. No fees. Shariah-compliant. Tabby Tamara. Details; HOW TO USE · INGREDIENTS ...,https://incidecoder.com/products/seoul-1988-retinal-liposome-1-fermented-rice-cream,,Korea Water
SKIN1004 - Madagascar Centella Poremizing Light Gel Cream - 75ml,SKIN1004,Bulk Moisturizer,SKIN-26,8809576261646,"Centella Asiatica Extract - calms inflammation, supports barrier repair, and strengthens resilience, | Himalayan Pink Salt - mineral-rich exfoliator that helps draw out impurities from pores and prevents enlargement, | Niacinamide - refines tone and texture, brightens dull complexion, | Aloe Vera Leaf Extract & Witch Hazel - soothe and provide comfort for skin prone to irritation, | Humectants (Glycerin, Hyaluronic Acid) - hydrate and maintain moisture without greasiness.",75 ml,https://qudobeauty.com/wp-content/uploads/2025/04/crema-tip-gel-pentru-minimizarea-porilor-75-ml-skin1004-8809576261646-7166-600x600.png,https://qudobeauty.com/product/skin1004-madagascar-centella-poremizing-light-gel-cream-75ml/,https://incidecoder.com/products/skin1004-madagascar-centella-poremizing-light-gel-cream,www.skin1004.com,"Jul 28, 2022 ... Skin1004 Madagascar Centella Poremizing Light Gel Cream ingredients explained: Centella Asiatica Extract, Water, Propanediol, ...",https://incidecoder.com/products/skin1004-madagascar-centella-poremizing-light-gel-cream,,
Dr. Althea - Reju 5000 Cream - 20ml,Dr. Althea,Bulk Moisturizer,ALTHEA-48,8809447256412,"Peptide Complex 5000 ppm - boosts collagen production, enhances elasticity, and improves firmness for visibly smoother skin. | Niacinamide - brightens dull skin, reduces uneven tone, and supports a stronger moisture barrier. | Adenosine - helps reduce the appearance of fine lines and improves skin resilience. | Hyaluronic Acid - provides deep hydration, keeping the skin plump and supple. | Botanical Extracts - soothe, nourish, and offer antioxidant protection. | Rich yet Lightweight Cream Base - absorbs comfortably without heaviness, ideal for daily use.",20 ml,https://qudobeauty.com/wp-content/uploads/2025/11/XXL_p0221889099-600x600.webp,https://qudobeauty.com/product/dr-althea-reju-5000-cream-20ml/,https://skinsort.com/products/dr-althea/reju-5000-cream,,"Ingredients in Dr. Althea Reju 5000 Cream explained: benefits, concerns, and detailed analysis of 34 ingredients including Water, Centella Asiatica Leaf ...",,"Dr. Althea is a Korean beauty brand specializing in multi-care products. Sensitive skin friendly products, with elegant and stunning packaging.",
"Torriden - Dive-in Low Molecular Hyaluronic Acid Soothing Cream, 100ml",Torriden,Bulk Moisturizer,TORRIDEN-17,8809784600183,5D Complex Hyaluronic Acid - multi-layer hydration targeting both surface and deeper skin layers. | Trehalose & Panthenol - help retain moisture and soothe stressed or sensitive skin. | Water-gel texture with lightweight finish - absorbs quickly without stickiness or heaviness.,100 ml,https://qudobeauty.com/wp-content/uploads/2025/09/res_e52715fbf6a3a594cbd8d33d9861032b-600x600.avif,https://qudobeauty.com/product/torriden-dive-in-low-molecular-hyaluronic-acid-soothing-cream-100ml/,https://incidecoder.com/products/torriden-dive-in-low-molecular-hyaluronic-acid-soothing-cream,,"Feb 9, 2021 ... Torriden Dive-in Low-molecular Hyaluronic Acid Soothing Cream ingredients explained: Water/Aqua, Butylene Glycol, Glycerin, 1,2-Hexanediol, ...",https://incidecoder.com/products/torriden-dive-in-low-molecular-hyaluronic-acid-soothing-cream,,
Dr. Althea - Aqua Marine Watery Cream - 50ml,Dr. Althea,Bulk Moisturizer,ALTHEA-37,8809447256085,"Marine Extracts - rich in minerals and nutrients that help hydrate, nourish, and improve overall skin vitality. | Hyaluronic Acid Complex - offers multi-layer hydration, keeping the skin plump, smooth, and moisturized throughout the day. | Niacinamide - brightens dullness, refines texture, and strengthens the skin barrier while balancing excess oil. | Centella Asiatica Extract - calms irritation, reduces redness, and supports healthy skin recovery. | Soothing & Hydrating Botanicals - provide long-lasting comfort and enhance the skin's moisture retention.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/10/aquamarinecream-600x600.webp,https://qudobeauty.com/product/dr-althea-aqua-marine-watery-cream-50ml/,https://incidecoder.com/products/dr-althea-aqua-marine-watery-cream,,"Sep 14, 2025 ... Dr. Althea Aqua Marine Watery Cream. Ingredients explained · Bambusa Vulgaris Water · Codium Fragile Extract · Palmaria Palmata Extract · Sodium Dna.",https://incidecoder.com/products/dr-althea-aqua-marine-watery-cream,"Dr. Althea is a Korean beauty brand specializing in multi-care products. Sensitive skin friendly products, with elegant and stunning packaging.",
I'm from - Rice Cream - 50g,I'M FROM,Bulk Moisturizer,IF-03,8809525930548,"Yeoju Rice Bran Extract (Brightening Complex) - rich in vitamins, amino acids, and antioxidants that brighten dullness and support a healthy, glowing complexion. | Ceramides - reinforce the skin barrier, prevent moisture loss, and improve resilience. | Niacinamide - enhances brightness, refines uneven tone, and strengthens overall skin texture. | Hyaluronic Acid & Glycerin - deliver deep hydration and keep the skin plump and smooth. | Lightweight Cream Texture - moisturizes without heaviness, suitable for daily use.",50 g,https://qudobeauty.com/wp-content/uploads/2025/04/images-59.jpeg,https://qudobeauty.com/product/im-from-rice-cream-50g/,https://sokoglam.com/products/im-from-rice-cream-50g,,I'm From harnesses time-tested natural ingredients and extracts to provide clean yet efficacious skin care to leave your complexion revived. 1.76 oz. / 50g ...,https://incidecoder.com/products/im-from-rice-cream,I'm From harnesses time-tested natural ingredients and extracts to provide clean yet efficacious skin care to leave your complexion revived. 1.76 oz. / 50g ...,
Medi-Peel - Melanon X Cream - 30ml,MEDI-PEEL,Bulk Moisturizer,MEDIPEEL-1,8809409342566,"niacinamide - brightens, reduces discoloration, strengthens the barrier, | alpha-arbutin - targets dark spots and prevents new pigmentation, | tranexamic acid - treats stubborn pigmentation and post-acne marks, | hyaluronic acid - deeply hydrates and plumps the complexion, | panthenol - soothes, softens, and supports comfort.",30 ml,https://qudobeauty.com/wp-content/uploads/2025/07/611469584-1-600x600.png,https://qudobeauty.com/product/medi-peel-melanon-x-cream-30ml/,https://incidecoder.com/products/medi-peel-melanon-x-cream,,"Mar 2, 2021 ... MEDI-PEEL Melanon X Cream ingredients explained: Water, Butyrospermum Parkii (Shea Butt Er), Butylene Glycol, Caprylic/Capric Triglyceride, ...",https://incidecoder.com/products/medi-peel-melanon-x-cream,,
SKIN1004 - Madagascar Centella Cream - 75ml,SKIN1004,Bulk Moisturizer,SKIN-21_2,8809576260441,"Centella Asiatica Extract - nourishes and soothes irritated skin while supporting barrier repair, | Squalane - mimics natural skin oils to restore softness and protect against dryness, | Niacinamide - enhances skin tone and clarity, | Shea Butter & Meadowfoam Seed Oil - rich botanical emollients that moisturize and smooth the skin, | Ceramide NP & Cholesterol - strengthen the barrier and reduce moisture loss.",75 ml,https://qudobeauty.com/wp-content/uploads/2025/04/images-95.jpeg,https://qudobeauty.com/product/skin1004-madagascar-centella-cream-75ml/,https://www.skin1004.com/products/skin1004-madagascar-centella-cream,www.skin1004.com,"Product Benefits: Soothing, Hydrating ; Skin Type: Normal, Sensitive looking skin ; Key Ingredients: Centella Asiatica Extract, Panthenol, TECA (Madecassoside, ...",https://incidecoder.com/products/skin1004-madagascar-centella-cream,,
Medi-Peel - Power Aqua Cream - 50g,MEDI-PEEL,Bulk Moisturizer,MEDIPEEL-2,8809409346656,"hyaluronic acid - deeply hydrates and plumps the skin, | marine extracts - soothe, refresh, and revitalize, | niacinamide - brightens, evens tone, strengthens the barrier, | panthenol - softens, soothes, and improves comfort, | moisture-binding ingredients - maintain hydration and elasticity.",50 g,https://qudobeauty.com/wp-content/uploads/2025/04/MEDIPEELPOWERAQUA.webp,https://qudobeauty.com/product/medi-peel-power-aqua-cream-50g/,https://ksisters.cz/en/product/medi-peel-power-aqua-cream,,"Size: 50 g ... A new, very cool and effective cream for intense skin hydration from the popular Korean cosmetic brand Medipeel is already on Ksisters . Power Aqua ...",,"Size: 50 g ... A new, very cool and effective cream for intense skin hydration from the popular Korean cosmetic brand Medipeel is already on Ksisters . Power Aqua ...",
Medi-Peel - Phyto Cica-Nol B5 Calming Drop Gel Cream - 50g,MEDI-PEEL,Bulk Moisturizer,MEDIPEEL-18,8809409342290,"centella asiatica (cica) - reduces redness, calms irritation, supports healing, | panthenol (B5) - hydrates deeply, repairs the barrier, softens the skin, | madecassoside - soothes and protects sensitive or stressed skin, | hyaluronic acid - provides moisture and plumps the complexion, | phyto-extracts - balance, refresh, and support skin resilience.",50 g,https://qudobeauty.com/wp-content/uploads/2025/04/uspokaivayushhij-krem-medi-peel-phyto-cica-nol-b5-calming-drop-gel-cream-800x800-1-600x600.jpg,https://qudobeauty.com/product/medi-peel-phyto-cica-nol-b5-calming-drop-gel-cream-50g/,https://www.testerkorea.net/product/45010-58451/medi-peel-phyto-cica-nol-b5-calming-drop-gel-cream-50g,,"... INGREDIENTS. MEDI-PEEL PHYTO Cica-Nol B5 Calming Drop Gel Cream 50g. By using only 2 pills a day, the power of soothing repair that the capsule contains is ...",,,
